Epoch	AvgRewardsLast100Ep	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
44	1.1066665649414062	1.9775	0.3984579	2.6	1.49	1000.0	0.15406524	0.10068172	0.61175686	-0.10729862	180000	7.450581e-09	0.03747295	-0.034145616	-0.026947936	0.7078315	0.015417003	0.1675	19.0	147.0822639465332
45	1.1230978965759277	1.8625	0.7054564	2.85	0.97999996	1000.0	0.18374254	0.12853932	0.70106584	-0.1388661	184000	7.450581e-09	0.04418438	-0.033168763	-0.036452487	0.70260656	0.015237698	0.19225	18.0	150.25560903549194
46	1.1407978534698486	1.9549999	0.5734326	2.8	1.23	1000.0	0.18652894	0.12051503	0.7075568	-0.19644628	188000	-1.3038516e-08	0.041723598	-0.035452098	-0.030555554	0.6988743	0.0152108455	0.1935	25.0	153.52671694755554
47	1.1513020992279053	1.645	0.8317902	3.05	0.90999997	1000.0	0.17382327	0.11793301	0.6788621	-0.20884345	192000	-1.1175871e-08	0.043457203	-0.035423864	-0.037227027	0.69729084	0.015402919	0.14875	21.0	156.50780177116394
48	1.1659183502197266	1.8675	0.6268722	2.74	1.16	1000.0	0.17917977	0.13364187	0.71724874	-0.23895442	196000	0.0	0.040230997	-0.016028237	-0.03366309	0.6953946	0.015380086	0.18775	7.0	159.99397087097168
49	1.1883000135421753	2.2849998	1.2116208	4.31	1.27	1000.0	0.17372112	0.1251382	0.7172314	-0.23968458	200000	-1.4901161e-08	0.04254155	-0.03407761	-0.031664845	0.69481117	0.015080759	0.18075	19.0	163.41265201568604
50	1.2078430652618408	2.185	0.595336	2.86	1.35	1000.0	0.20223956	0.14470106	0.829066	-0.24065228	204000	2.6077032e-08	0.03611371	-0.011555685	-0.02830458	0.69103384	0.01587943	0.2475	6.0	166.7566237449646
51	1.2242788076400757	2.0625	0.77705777	3.0	1.27	1000.0	0.22330676	0.12727053	0.65835625	-0.123412915	208000	1.4901161e-08	0.03979015	-0.010485359	-0.0312685	0.6893384	0.01733028	0.21425	5.0	169.88134813308716
52	1.225000023841858	1.2625	0.7954676	2.31	0.07	1000.0	0.15270114	0.11156951	0.58023584	-0.179749	212000	-1.1175871e-08	0.029622672	-0.045010164	-0.024270039	0.68859744	0.015055902	0.2035	29.0	173.53921508789062
53	1.2436110973358154	2.23	0.6159951	3.1499999	1.43	1000.0	0.19465576	0.14595227	0.7380587	-0.11577129	216000	-1.7695129e-08	0.046550423	-0.035131786	-0.03751808	0.6868467	0.015533658	0.17500001	25.0	176.84673309326172
54	1.2585909366607666	2.0675	0.9207707	3.37	0.77	1000.0	0.20175555	0.13506491	0.7048565	-0.20281233	220000	9.313226e-09	0.048954867	-0.013149743	-0.03964425	0.68956673	0.015497877	0.16174999	6.0	180.48302388191223
